date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:23:39	111016/111016	---M-Z	200	added ('OK')	text/css	etag:%221b1a8-641af455-a73dd05024777dac;gz%22	https://andit.co/projects/html/and-tour/demo/assets/css/style.css	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/assets/css/style.css	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:39	11977/11977	---M-Z	200	added ('OK')	text/css	etag:%222ec9-641af452-2c2d8b22bd8d9478;gz%22	https://andit.co/projects/html/and-tour/demo/assets/css/responsive.css	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/assets/css/responsive.css	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:40	5052/5052	---M--	200	added ('OK')	image/png	etag:%2213bc-641af459-832f4d8365f49f62;;;%22	https://andit.co/projects/html/and-tour/demo/assets/img/favicon.png	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/assets/img/favicon.png	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:40	39507/39507	---M-Z	200	added ('OK')	text/html	etag:%229a53-641af424-d3dd764dc13216e5;gz%22	https://andit.co/projects/html/and-tour/demo/login.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/login.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:40	40892/40892	---M-Z	200	added ('OK')	text/html	etag:%229fbc-641af42e-6f92345c96b68131;gz%22	https://andit.co/projects/html/and-tour/demo/register.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/register.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:41	4983/4983	---M--	200	added ('OK')	image/png	etag:%221377-641af459-b919562c89f990d8;;;%22	https://andit.co/projects/html/and-tour/demo/assets/img/logo.png	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/assets/img/logo.png	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:41	78665/78665	---M-Z	200	added ('OK')	text/html	etag:%2213349-641af420-51a255e632fd0041;gz%22	https://andit.co/projects/html/and-tour/demo/index-2.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/index-2.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:42	74558/74558	---M-Z	200	added ('OK')	text/html	etag:%221233e-641af422-507e6060e36fa8b5;gz%22	https://andit.co/projects/html/and-tour/demo/index-3.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/index-3.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:42	316557/316557	---M-Z	200	added ('OK')	text/html	etag:%224d48d-641af422-be41dd27e2c2e8e9;gz%22	https://andit.co/projects/html/and-tour/demo/index-4.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/index-4.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:43	233604/233604	---M-Z	200	added ('OK')	text/html	etag:%2239084-641af43e-5a71025113df27e5;gz%22	https://andit.co/projects/html/and-tour/demo/tour-search.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/tour-search.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:43	238253/238253	---M-Z	200	added ('OK')	text/html	etag:%223a2ad-641af43b-c9cedc63d9a65846;gz%22	https://andit.co/projects/html/and-tour/demo/tour-search-list.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/tour-search-list.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:43	214992/214992	---M-Z	200	added ('OK')	text/html	etag:%22347d0-641af43e-6ab5d26a055274c4;gz%22	https://andit.co/projects/html/and-tour/demo/tour-search-map.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/tour-search-map.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:44	95189/95189	---M-Z	200	added ('OK')	text/html	etag:%22173d5-641af438-501560ca529192eb;gz%22	https://andit.co/projects/html/and-tour/demo/tour-details.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/tour-details.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:44	58886/58886	---M-Z	200	added ('OK')	text/html	etag:%22e606-641af436-e1e64e0d69f7d620;gz%22	https://andit.co/projects/html/and-tour/demo/tour-booking-submission.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/tour-booking-submission.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:44	69000/69000	---M-Z	200	added ('OK')	text/html	etag:%2210d88-641af436-ddc220bdb83f95fe;gz%22	https://andit.co/projects/html/and-tour/demo/top-destinations.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/top-destinations.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:45	94942/94942	---M-Z	200	added ('OK')	text/html	etag:%22172de-641af434-8b9db16c4acfbc1;gz%22	https://andit.co/projects/html/and-tour/demo/top-destinations-details.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/top-destinations-details.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:45	297038/297038	---M-Z	200	added ('OK')	text/html	etag:%224884e-641af419-370010a9758f9cf3;gz%22	https://andit.co/projects/html/and-tour/demo/flight-search-result.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/flight-search-result.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:46	60143/60143	---M-Z	200	added ('OK')	text/html	etag:%22eaef-641af417-a369fa1646b18f1;gz%22	https://andit.co/projects/html/and-tour/demo/flight-booking-submission.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/flight-booking-submission.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:46	233513/233513	---M-Z	200	added ('OK')	text/html	etag:%2239029-641af420-8454c9ed322abb32;gz%22	https://andit.co/projects/html/and-tour/demo/hotel-search.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/hotel-search.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:46	240142/240142	---M-Z	200	added ('OK')	text/html	etag:%223aa0e-641af41e-ec0317421c593462;gz%22	https://andit.co/projects/html/and-tour/demo/hotel-search-list.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/hotel-search-list.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:47	216158/216158	---M-Z	200	added ('OK')	text/html	etag:%2234c5e-641af41d-22eb73c277f558cf;gz%22	https://andit.co/projects/html/and-tour/demo/hotel-map.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/hotel-map.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:47	93103/93103	---M-Z	200	added ('OK')	text/html	etag:%2216baf-641af41b-31b293567e965f18;gz%22	https://andit.co/projects/html/and-tour/demo/hotel-details.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/hotel-details.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:48	55270/55270	---M-Z	200	added ('OK')	text/html	etag:%22d7e6-641af432-7779cb4f157a3fba;gz%22	https://andit.co/projects/html/and-tour/demo/room-details.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/room-details.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:48	58881/58881	---M-Z	200	added ('OK')	text/html	etag:%22e601-641af430-b6414467d76c6e3a;gz%22	https://andit.co/projects/html/and-tour/demo/room-booking.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/room-booking.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:48	96814/96814	---M-Z	200	added ('OK')	text/html	etag:%2217a2e-641af441-398d1a060d7a5a5f;gz%22	https://andit.co/projects/html/and-tour/demo/visa-details.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/visa-details.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:49	60638/60638	---M-Z	200	added ('OK')	text/html	etag:%22ecde-641af440-2c63a32d3eac45a;gz%22	https://andit.co/projects/html/and-tour/demo/visa-application.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/visa-application.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:49	48420/48420	---M-Z	200	added ('OK')	text/html	etag:%22bd24-641af442-b8f4f9a34925b181;gz%22	https://andit.co/projects/html/and-tour/demo/visa-info.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/visa-info.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:50	233834/233834	---M-Z	200	added ('OK')	text/html	etag:%223916a-641af403-d5d059a42b82250f;gz%22	https://andit.co/projects/html/and-tour/demo/apartment-search.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/apartment-search.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:50	238416/238416	---M-Z	200	added ('OK')	text/html	etag:%223a350-641af401-ef94fe525e468bd3;gz%22	https://andit.co/projects/html/and-tour/demo/apartment-search-list.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/apartment-search-list.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:50	215114/215114	---M-Z	200	added ('OK')	text/html	etag:%223484a-641af402-93cc453b481d07e8;gz%22	https://andit.co/projects/html/and-tour/demo/apartment-search-map.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/apartment-search-map.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:51	68115/68115	---M-Z	200	added ('OK')	text/html	etag:%2210a13-641af400-63e355340d09353b;gz%22	https://andit.co/projects/html/and-tour/demo/apartment-details.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/apartment-details.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:51	58749/58749	---M-Z	200	added ('OK')	text/html	etag:%22e57d-641af3fe-b195158c9bc66833;gz%22	https://andit.co/projects/html/and-tour/demo/apartment-booking.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/apartment-booking.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:52	231641/231641	---M-Z	200	added ('OK')	text/html	etag:%22388d9-641af40a-4a0a76408ea4ad84;gz%22	https://andit.co/projects/html/and-tour/demo/bus-search-list.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/bus-search-list.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:52	218741/218741	---M-Z	200	added ('OK')	text/html	etag:%2235675-641af40a-21f30b743a1b7425;gz%22	https://andit.co/projects/html/and-tour/demo/bus-search-map.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/bus-search-map.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:52	59907/59907	---M-Z	200	added ('OK')	text/html	etag:%22ea03-641af408-4c7208cef32475c6;gz%22	https://andit.co/projects/html/and-tour/demo/bus-booking.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/bus-booking.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:53	232412/232412	---M-Z	200	added ('OK')	text/html	etag:%2238bdc-641af411-5d192fd4ac9c5d85;gz%22	https://andit.co/projects/html/and-tour/demo/cruise-search-list.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/cruise-search-list.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:53	215058/215058	---M-Z	200	added ('OK')	text/html	etag:%2234812-641af413-cebfc89b00e1fcc0;gz%22	https://andit.co/projects/html/and-tour/demo/cruise-map.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/cruise-map.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:54	77094/77094	---M-Z	200	added ('OK')	text/html	etag:%2212d26-641af40e-428b4cea87cc7835;gz%22	https://andit.co/projects/html/and-tour/demo/cruise-details.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/cruise-details.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:54	58742/58742	---M-Z	200	added ('OK')	text/html	etag:%22e576-641af40d-ec3a6c53060456b;gz%22	https://andit.co/projects/html/and-tour/demo/cruise-booking.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/cruise-booking.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:54	50355/50355	---M-Z	200	added ('OK')	text/html	etag:%22c4b3-641af3fe-528dc1a7a91e9acb;gz%22	https://andit.co/projects/html/and-tour/demo/about.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/about.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:55	49043/49043	---M-Z	200	added ('OK')	text/html	etag:%22bf93-641af43a-2faec0911b40a81d;gz%22	https://andit.co/projects/html/and-tour/demo/tour-guides.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/tour-guides.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:55	54545/54545	---M-Z	200	added ('OK')	text/html	etag:%22d511-641af434-434bab32aeb1af79;gz%22	https://andit.co/projects/html/and-tour/demo/testimonials.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/testimonials.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:56	61443/61443	---M-Z	200	added ('OK')	text/html	etag:%22f003-641af415-5ba5403252d5561c;gz%22	https://andit.co/projects/html/and-tour/demo/faqs.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/faqs.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:56	42792/42792	---M-Z	200	added ('OK')	text/html	etag:%22a728-641af406-9a7977466594048e;gz%22	https://andit.co/projects/html/and-tour/demo/booking-confirmation.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/booking-confirmation.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:56	51907/51907	---M-Z	200	added ('OK')	text/html	etag:%22cac3-641af404-e4b4a21a6afc72be;gz%22	https://andit.co/projects/html/and-tour/demo/become-expert.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/become-expert.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:57	38999/38999	---M-Z	200	added ('OK')	text/html	etag:%229857-641af419-46d7657e3788cd6c;gz%22	https://andit.co/projects/html/and-tour/demo/forgot-password.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/forgot-password.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:57	39513/39513	---M-Z	200	added ('OK')	text/html	etag:%229a59-641af43f-5d70e31308381c45;gz%22	https://andit.co/projects/html/and-tour/demo/verify-otp.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/verify-otp.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:58	39220/39220	---M-Z	200	added ('OK')	text/html	etag:%229934-641af430-753b0302ee99ad5b;gz%22	https://andit.co/projects/html/and-tour/demo/reset-password.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/reset-password.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:58	45333/45333	---M-Z	200	added ('OK')	text/html	etag:%22b115-641af42e-d032343eb68ff9d2;gz%22	https://andit.co/projects/html/and-tour/demo/privacy-policy.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/privacy-policy.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:59	38405/38405	---M-Z	200	added ('OK')	text/html	etag:%229605-641af415-a56008d5473768ac;gz%22	https://andit.co/projects/html/and-tour/demo/error.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/error.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:59	48090/48090	---M-Z	200	added ('OK')	text/html	etag:%22bbda-641af413-2d5445d3d1362795;gz%22	https://andit.co/projects/html/and-tour/demo/dashboard.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/dashboard.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:59	46884/46884	---M-Z	200	added ('OK')	text/html	etag:%22b724-641af41b-27a1aff56516b4ba;gz%22	https://andit.co/projects/html/and-tour/demo/hotel-booking.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/hotel-booking.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:24:00	46857/46857	---M-Z	200	added ('OK')	text/html	etag:%22b709-641af417-dfa06b1c94b7f3d8;gz%22	https://andit.co/projects/html/and-tour/demo/flight-booking.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/flight-booking.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:24:00	46764/46764	---M-Z	200	added ('OK')	text/html	etag:%22b6ac-641af438-3eada7f6e716c14;gz%22	https://andit.co/projects/html/and-tour/demo/tour-booking.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/tour-booking.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:24:01	46861/46861	---M-Z	200	added ('OK')	text/html	etag:%22b70d-641af407-839f1bcb96f3a5b7;gz%22	https://andit.co/projects/html/and-tour/demo/booking-history.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/booking-history.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:24:01	46284/46284	---M-Z	200	added ('OK')	text/html	etag:%22b4cc-641af426-6bae43171dfcaadf;gz%22	https://andit.co/projects/html/and-tour/demo/my-profile.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/my-profile.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:24:01	49511/49511	---M-Z	200	added ('OK')	text/html	etag:%22c167-641af443-50fa3588c7b95084;gz%22	https://andit.co/projects/html/and-tour/demo/wallet.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/wallet.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:24:02	53329/53329	---M-Z	200	added ('OK')	text/html	etag:%22d051-641af42c-fd9a0f845652ca90;gz%22	https://andit.co/projects/html/and-tour/demo/notification.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/notification.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:24:02	50049/50049	---M-Z	200	added ('OK')	text/html	etag:%22c381-641af42c-9edc27dd1a49d0ff;gz%22	https://andit.co/projects/html/and-tour/demo/news.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/news.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:24:02	49975/49975	---M-Z	200	added ('OK')	text/html	etag:%22c337-641af428-da085859a4f40d84;gz%22	https://andit.co/projects/html/and-tour/demo/news-v2.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/news-v2.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:24:03	88759/88759	---M-Z	200	added ('OK')	text/html	etag:%2215ab7-641af42a-55a05af3a9ba087c;gz%22	https://andit.co/projects/html/and-tour/demo/news-v3.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/news-v3.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:24:03	51115/51115	---M-Z	200	added ('OK')	text/html	etag:%22c7ab-641af42a-f17b47744d98f903;gz%22	https://andit.co/projects/html/and-tour/demo/news-v4.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/news-v4.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:24:04	50082/50082	---M-Z	200	added ('OK')	text/html	etag:%22c3a2-641af428-a4eeb2b24d6e0410;gz%22	https://andit.co/projects/html/and-tour/demo/news-details.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/news-details.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:24:04	47300/47300	---M-Z	200	added ('OK')	text/html	etag:%22b8c4-641af426-5217b9a4fbaecd9a;gz%22	https://andit.co/projects/html/and-tour/demo/news-details-v2.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/news-details-v2.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:24:04	43892/43892	---M-Z	200	added ('OK')	text/html	etag:%22ab74-641af40c-14c2f14b3f41ae6a;gz%22	https://andit.co/projects/html/and-tour/demo/contact.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/contact.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:24:05	42666/42666	---M-Z	200	added ('OK')	text/html	etag:%22a6aa-641af40b-54a1583b8296cbe6;gz%22	https://andit.co/projects/html/and-tour/demo/contact-v2.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/contact-v2.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:24:05	49347/49347	---M-Z	200	added ('OK')	text/html	etag:%22c0c3-641af405-4652aafe7523697a;gz%22	https://andit.co/projects/html/and-tour/demo/become-vendor.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/become-vendor.html	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:24:07	82319/82319	---M--	200	added ('OK')	image/png	etag:%221418f-641af55e-b5d705386b7be398;;;%22	https://andit.co/projects/html/and-tour/demo/assets/img/imagination/imagination1.png	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/assets/img/imagination/imagination1.png	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:24:08	80824/80824	---M--	200	added ('OK')	image/png	etag:%2213bb8-641af55e-58cc4440d131386e;;;%22	https://andit.co/projects/html/and-tour/demo/assets/img/imagination/imagination2.png	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/assets/img/imagination/imagination2.png	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:24:11	29830/29830	---M--	200	added ('OK')	image/png	etag:%227486-641af4f5-822331383fd6c56e;;;%22	https://andit.co/projects/html/and-tour/demo/assets/img/destination/destination1.png	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/assets/img/destination/destination1.png	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:24:11	76260/76260	---M--	200	added ('OK')	image/png	etag:%22129e4-641af55f-fac646f686c3e69;;;%22	https://andit.co/projects/html/and-tour/demo/assets/img/imagination/imagination3.png	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/assets/img/imagination/imagination3.png	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:24:13	28383/28383	---M--	200	added ('OK')	image/png	etag:%226edf-641af4f6-4d26f02fb7f5c37a;;;%22	https://andit.co/projects/html/and-tour/demo/assets/img/destination/destination2.png	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/assets/img/destination/destination2.png	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:24:13	29050/29050	---M--	200	added ('OK')	image/png	etag:%22717a-641af4f6-c9db4ee8bdf92fee;;;%22	https://andit.co/projects/html/and-tour/demo/assets/img/destination/destination3.png	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/assets/img/destination/destination3.png	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:24:14	27150/27150	---M--	200	added ('OK')	image/png	etag:%226a0e-641af4f8-c3b1b89773da0a64;;;%22	https://andit.co/projects/html/and-tour/demo/assets/img/destination/destination5.png	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/assets/img/destination/destination5.png	(from https://andit.co/projects/html/and-tour/demo/index.html)
